timestamp,step,total_steps,consumed_samples,elapsed_ms,learning_rate,global_batch_size,lm_loss,loss_scale,grad_norm,skipped_iterations,nan_iterations,step_time_s,tflops_per_gpu,step_time_source,progress,epoch,samples_per_sec,tokens_per_sec,tokens_per_sec_per_gpu,perplexity,is_checkpoint_step,status,lm_loss_rolling_mean,step_time_rolling_mean_s
2026-08-27 12:01:02,132,276,1056,45566.3,6.054543e-05,8,0.5225383,1.0,0.151,0,0,45.57,245.7,Step Time,0.4782608695652174,0.9582577132486388,0.17555409260478386,17257.669519420673,2157.208689927584,1.6863025636939533,False,slow_step,0.43416413,31.443
2026-08-27 12:01:25,133,276,1064,23340.5,6.001961e-05,8,0.2717369,1.0,0.193,0,0,23.34,479.6,Step Time,0.48188405797101447,0.9655172413793104,0.3427592116538132,33694.60154241645,4211.825192802056,1.312241705096772,False,,0.41883375,29.333
2026-08-27 12:01:56,134,276,1072,31175.0,5.94931e-05,8,0.5159248,1.0,0.211,0,0,31.17,359.1,Step Time,0.4855072463768116,0.9727767695099818,0.2566570420275906,25230.413859480268,3153.8017324350335,1.6751869985985492,False,,0.43306908999999993,30.098000000000003
2026-08-27 12:02:20,135,276,1080,23385.5,5.896596e-05,8,0.5094051,1.0,0.157,0,0,23.39,478.7,Step Time,0.4891304347826087,0.9800362976406534,0.3420265070542967,33622.573749465584,4202.821718683198,1.6643008078338681,True,,0.44247671000000005,28.025
2026-08-27 12:03:03,136,276,1088,35372.0,5.843828e-05,8,0.7006773,1.0,886.158,0,0,35.37,316.5,Step Time,0.4927536231884058,0.9872958257713249,0.2261803788521346,22234.43596268024,2779.30449533503,2.015117084173259,False,grad_norm_spike,0.46186106000000005,29.118000000000002
2026-08-27 12:03:41,137,276,1096,38046.5,5.791012e-05,8,0.4135443,1.0,0.192,0,0,38.05,294.2,Step Time,0.4963768115942029,0.9945553539019963,0.21024967148488832,20668.38370565046,2583.5479632063075,1.5121678749496543,False,slow_step,0.45983574000000005,29.836000000000002
2026-08-27 12:04:11,138,276,1104,30234.3,5.738156e-05,8,0.3798559,1.0,0.203,0,0,30.23,370.2,Step Time,0.5,1.0018148820326678,0.26463777704267283,26014.95203440291,3251.869004300364,1.4620738894061887,False,,0.45206451000000003,29.848000000000003
2026-08-27 12:04:35,139,276,1112,23408.9,5.685266e-05,8,0.3432634,1.0,0.236,0,0,23.41,478.2,Step Time,0.5036231884057971,1.0090744101633393,0.34173430158052115,33593.84878257155,4199.231097821444,1.4095399858663888,False,,0.44121175,29.815999999999995
2026-08-27 12:04:58,140,276,1120,23471.8,5.632352e-05,8,0.3391548,1.0,0.164,0,0,23.47,476.9,Step Time,0.5072463768115942,1.0163339382940109,0.3408606731998296,33507.96761823605,4188.495952279506,1.4037606305400154,False,,0.4368994,29.833
2026-08-27 12:05:23,141,276,1128,24356.4,5.579418e-05,8,0.9740614,1.0,85.52,0,0,24.36,459.6,Step Time,0.5108695652173914,1.0235934664246824,0.3284072249589491,32283.743842364533,4035.4679802955666,2.6486799928724345,False,grad_norm_spike,0.49701622,29.836000000000002
